06,425,Sýslumaðurinn á Húsavík
06,426,Sýslumaðurinn á Seyðisfirði
06,428,Sýslumaðurinn á Eskifirði
06,429,Sýslumaðurinn á Höfn í Hornafirði
06,430,Sýslumaðurinn í Vík í Mýrdal
06,431,Sýslumaðurinn á Hvolsvelli
06,432,Sýslumaðurinn í Vestmannaeyjum
06,433,Sýslumaðurinn á Selfossi
06,434,Sýslumaðurinn í Reykjanesbæ
06,436,Sýslumaðurinn í Hafnarfirði
06,437,Sýslumaðurinn í Kópavogi
06,490,Ýmis rekstrarkostnaður sýslumannsembætta
06,491,Húsnæði og búnaður sýslumanna
06,501,Fangelsismálastofnun ríkisins
06,591,Fangelsisbyggingar
06,701,Þjóðkirkjan
06,705,Kirkjumálasjóður
06,707,Kristnisjóður
06,733,Kirkjugarðar
06,735,Sóknargjöld
06,736,Jöfnunarsjóður sókna
07,101,Félags- og tryggingamálaráðuneyti, aðalskrifstofa
07,190,Ýmis verkefni
07,199,Ráðstöfunarfé
07,205,Leiguíbúðir
07,207,Varasjóður húsnæðismála
07,302,Ríkissáttasemjari
07,313,Jafnréttisstofa
07,331,Vinnueftirlit ríkisins
07,400,Barnaverndarstofa
07,505,Öldrunarstofnanir, almennt
07,515,Framkvæmdasjóður aldraðra
07,700,Málefni fatlaðra
07,701,Málefni fatlaðra, Reykjavík
07,702,Málefni fatlaðra, Reykjanesi
07,703,Málefni fatlaðra, Vesturlandi
07,704,Málefni fatlaðra, Vestfjörðum
07,705,Málefni fatlaðra, Norðurlandi vestra
07,706,Málefni fatlaðra, Norðurlandi eystra
07,707,Málefni fatlaðra, Austurlandi
07,708,Málefni fatlaðra, Suðurlandi
07,711,Styrktarfélag vangefinna
07,720,Skálatúnsheimilið, Mosfellsbæ
07,722,Sólheimar í Grímsnesi
07,750,Greiningar- og ráðgjafarstöð ríkisins
07,755,Þjónustu- og þekkingarmiðstöð fyrir blinda og sjónskerta 
07,795,Framkvæmdasjóður fatlaðra
07,821,Tryggingastofnun ríkisins
07,825,Bætur samkvæmt lögum um félagslega aðstoð
07,827,Lífeyristryggingar
07,831,Eftirlaunasjóður aldraðra
07,980,Vinnumálastofnun
07,981,Vinnumál
07,982,Ábyrgðasjóður launa
07,983,Foreldrar langveikra eða alvarlega fatlaðra barna
07,984,Atvinnuleysistryggingasjóður
07,985,Félagsmálaskóli alþýðu
07,987,Tryggingasjóður sjálfstætt starfandi einstaklinga
07,989,Fæðingarorlof
07,999,Félagsmál, ýmis starfsemi
08,101,Heilbrigðisráðuneyti, aðalskrifstofa
08,199,Ráðstöfunarfé
08,202,Sjúkratryggingastofnun
08,206,Sjúkratryggingar
08,208,Slysatryggingar
08,209,Sjúklingatrygging
08,301,Landlæknir
08,305,Lýðheilsustöð
08,324,Heyrnar- og talmeinastöð Íslands
08,326,Sjónstöð Íslands
08,327,Geislavarnir ríkisins
08,340,Málefni fatlaðra
08,358,Sjúkrahúsið á Akureyri
08,373,Landspítali
08,376,Bygging hátæknisjúkrahúss á lóð Landspítalans
08,379,Sjúkrahús, óskipt
08,383,Sjúkrahótel
08,384,Rjóður, hvíldarheimili fyrir börn
08,386,Vistun ósakhæfra afbrotamanna
08,388,Samtök áhugamanna um áfengisvandamálið
08,397,Lyfjastofnun
08,399,Heilbrigðismál, ýmis starfsemi
08,401,Öldrunarstofnanir, almennt
08,405,Hrafnista, Reykjavík
08,406,Hrafnista, Hafnarfirði
08,407,Grund, Reykjavík
08,408,Sunnuhlíð, Kópavogi
08,409,Hjúkrunarheimilið Skjól
08,410,Hjúkrunarheimilið Eir
08,411,Garðvangur, Garði
08,412,Hjúkrunarheimilið Skógarbær
08,413,Hjúkrunarheimilið Droplaugarstöðum
08,414,Hjúkrunarheimilið Lundur, Hellu
08,415,Hjúkrunarheimilið Hulduhlíð, Eskifirði
08,416,Hjúkrunarheimilið Hornbrekka, Ólafsfirði
08,417,Hjúkrunarheimilið Naust, Þórshöfn
08,418,Seljahlíð, Reykjavík
08,421,Víðines
08,423,Höfði, Akranesi
08,424,Dvalarheimili aldraðra Borgarnesi
08,425,Dvalarheimili aldraðra Stykkishólmi
08,426,Fellaskjól, Grundarfirði
08,427,Jaðar, Ólafsvík
08,428,Fellsendi, Búðardal
08,429,Barmahlíð, Reykhólum
08,433,Dalbær, Dalvík
08,434,Samningur við Akureyrarbæ um öldrunarþjónustu
08,436,Uppsalir, Fáskrúðsfirði
08,437,Samningur við Sveitarfélagið Hornafjörð um öldrunarþjónustu
08,438,Klausturhólar, Kirkjubæjarklaustri
08,439,Hjallatún, Vík
08,440,Kumbaravogur, Stokkseyri
08,441,Ás/Ásbyrgi, Hveragerði
08,442,Hraunbúðir, Vestmannaeyjum
08,443,Holtsbúð, Garðabæ
08,444,Vífilsstaðir, Garðabæ
08,447,Sóltún, Reykjavík
08,460,Dvalarrými aldraðra, önnur
08,470,Vesturhlíð, Reykjavík
08,472,Hlíðabær, Reykjavík
08,473,Lindargata, Reykjavík
08,474,Dagvist og endurhæfingarstöð MS-sjúklinga
08,475,Múlabær, Reykjavík
08,476,Fríðuhús, Reykjavík
08,477,Dagvistun aldraðra, aðrar
